,equity,nav
2020-08-04,1411253.6431504514,1.4112536431504514
2020-08-05,1407726.932798189,1.4077269327981892
2020-08-06,1407156.1706682732,1.4071561706682731
2020-08-07,1428184.8203639165,1.4281848203639165
2020-08-10,1423438.8237997824,1.4234388237997824
2020-08-11,1426585.6575896526,1.4265856575896525
2020-08-12,1435194.5639245196,1.4351945639245196
2020-08-13,1430141.1212227284,1.4301411212227284
2020-08-14,1443004.7339176338,1.4430047339176337
2020-08-17,1455340.5914850424,1.4553405914850424
2020-08-18,1431289.4003310518,1.431289400331052
2020-08-19,1410168.818824991,1.4101688188249908
2020-08-20,1407143.2607557464,1.4071432607557464
2020-08-21,1432448.544286843,1.4324485442868429
2020-08-24,1455617.2770905118,1.4556172770905118
2020-08-25,1454269.841946709,1.454269841946709
2020-08-26,1438047.5360822647,1.4380475360822647
2020-08-27,1436885.0065607904,1.4368850065607903
2020-08-28,1432371.0486936036,1.4323710486936037
2020-08-31,1452048.0377421489,1.4520480377421487
2020-09-01,1456974.736236333,1.456974736236333
2020-09-02,1458430.5556365724,1.4584305556365724
2020-09-03,1467694.4286786434,1.4676944286786435
2020-09-04,1480045.068878658,1.4800450688786582
2020-09-07,1485332.2921675774,1.4853322921675773
2020-09-08,1484284.1442305902,1.4842841442305903
2020-09-09,1453747.1136737526,1.4537471136737525
2020-09-10,1453785.0007440122,1.453785000744012
2020-09-11,1449753.0016035791,1.4497530016035791
2020-09-14,1524050.2750868748,1.5240502750868747
2020-09-15,1503710.170479326,1.503710170479326
2020-09-16,1518018.476819277,1.518018476819277
2020-09-17,1533742.7966220737,1.5337427966220738
2020-09-18,1567588.7664951598,1.5675887664951598
2020-09-21,1573073.270294861,1.5730732702948609
2020-09-22,1580314.2147299293,1.5803142147299294
2020-09-23,1575395.6925728281,1.575395692572828
2020-09-24,1568437.808421596,1.568437808421596
2020-09-25,1548186.5820205326,1.5481865820205325
2020-09-28,1545792.1935959058,1.5457921935959058
2020-09-29,1565468.9292667906,1.5654689292667907
2020-09-30,1583703.9817273256,1.5837039817273255
2020-10-09,1600034.075878366,1.600034075878366
2020-10-12,1592556.0531661327,1.5925560531661327
2020-10-13,1600421.1972174908,1.6004211972174907
2020-10-14,1592724.2508292673,1.5927242508292674
2020-10-15,1591181.3560250364,1.5911813560250365
2020-10-16,1570210.519289685,1.570210519289685
2020-10-19,1554778.1572579257,1.5547781572579258
2020-10-20,1523824.9083986296,1.5238249083986297
2020-10-21,1523760.7824826671,1.523760782482667
2020-10-22,1514014.3665546158,1.5140143665546157
2020-10-23,1496749.1961766353,1.4967491961766353
2020-10-26,1476079.8688483122,1.476079868848312
2020-10-27,1468904.403196557,1.468904403196557
2020-10-28,1470194.1235140185,1.4701941235140186
2020-10-29,1494012.6321832302,1.4940126321832303
2020-10-30,1516101.1481490703,1.5161011481490703
2020-11-02,1522192.5720295461,1.5221925720295462
2020-11-03,1528052.3594698305,1.5280523594698305
2020-11-04,1518124.2235349175,1.5181242235349175
2020-11-05,1547996.7648568281,1.5479967648568282
2020-11-06,1552632.262475919,1.552632262475919
2020-11-09,1530391.553506829,1.530391553506829
2020-11-10,1549114.5557113343,1.5491145557113344
2020-11-11,1536484.6362600431,1.536484636260043
2020-11-12,1538885.2731670185,1.5388852731670186
2020-11-13,1557546.9231572922,1.5575469231572923
2020-11-16,1569414.6138518343,1.5694146138518343
2020-11-17,1575471.7341788628,1.5754717341788627
2020-11-18,1575663.1292084155,1.5756631292084156
2020-11-19,1601545.9350438174,1.6015459350438175
2020-11-20,1605634.0431095853,1.6056340431095852
2020-11-23,1610791.7355619268,1.6107917355619268
2020-11-24,1600280.6174067303,1.6002806174067303
2020-11-25,1611600.892268164,1.6116008922681642
2020-11-26,1597853.6971229175,1.5978536971229176
2020-11-27,1598407.130129352,1.5984071301293519
