,2019-12-31
002439.SZ,0.0013386880856760374
002482.SZ,0.0013386880856760374
002483.SZ,0.0013386880856760374
002461.SZ,0.0013386880856760374
002358.SZ,0.0013386880856760374
002475.SZ,0.0013386880856760374
002478.SZ,0.0013386880856760374
002379.SZ,0.0013386880856760374
002380.SZ,0.0013386880856760374
002349.SZ,0.0013386880856760374
002350.SZ,0.0013386880856760374
601007.SH,0.0013386880856760374
601019.SH,0.0013386880856760374
601021.SH,0.0013386880856760374
601268.SH,0.0013386880856760374
601127.SH,0.0013386880856760374
601137.SH,0.0013386880856760374
601158.SH,0.0013386880856760374
600842.SH,0.0013386880856760374
601211.SH,0.0013386880856760374
601222.SH,0.0013386880856760374
601229.SH,0.0013386880856760374
601238.SH,0.0013386880856760374
600872.SH,0.0013386880856760374
600873.SH,0.0013386880856760374
600826.SH,0.0013386880856760374
600827.SH,0.0013386880856760374
600832.SH,0.0013386880856760374
600837.SH,0.0013386880856760374
600840.SH,0.0013386880856760374
600841.SH,0.0013386880856760374
002521.SZ,0.0013386880856760374
002538.SZ,0.0013386880856760374
002539.SZ,0.0013386880856760374
002543.SZ,0.0013386880856760374
002553.SZ,0.0013386880856760374
002558.SZ,0.0013386880856760374
002559.SZ,0.0013386880856760374
002560.SZ,0.0013386880856760374
002563.SZ,0.0013386880856760374
002415.SZ,0.0013386880856760374
002417.SZ,0.0013386880856760374
002421.SZ,0.0013386880856760374
002425.SZ,0.0013386880856760374
600892.SH,0.0013386880856760374
600897.SH,0.0013386880856760374
600848.SH,0.0013386880856760374
600861.SH,0.0013386880856760374
600869.SH,0.0013386880856760374
600968.SH,0.0013386880856760374
600875.SH,0.0013386880856760374
600877.SH,0.0013386880856760374
600887.SH,0.0013386880856760374
600888.SH,0.0013386880856760374
600753.SH,0.0013386880856760374
600917.SH,0.0013386880856760374
600961.SH,0.0013386880856760374
600965.SH,0.0013386880856760374
600768.SH,0.0013386880856760374
600774.SH,0.0013386880856760374
600741.SH,0.0013386880856760374
600746.SH,0.0013386880856760374
600747.SH,0.0013386880856760374
600750.SH,0.0013386880856760374
002597.SZ,0.0013386880856760374
002618.SZ,0.0013386880856760374
002623.SZ,0.0013386880856760374
002640.SZ,0.0013386880856760374
002641.SZ,0.0013386880856760374
002643.SZ,0.0013386880856760374
002644.SZ,0.0013386880856760374
