,nav
2023-08-29,1.3239040397623196
2023-08-30,1.3264349176013006
2023-08-31,1.3284524366317503
2023-09-01,1.327927344891066
2023-09-04,1.3302492124204894
2023-09-05,1.331535748219986
2023-09-06,1.3307746184019988
2023-09-07,1.330366135696708
2023-09-08,1.3345354054024374
2023-09-11,1.3343838891387254
2023-09-12,1.3368354385743337
2023-09-13,1.335720739644835
2023-09-14,1.343985617328534
2023-09-15,1.3406106626124439
2023-09-18,1.3343444516560792
2023-09-19,1.343994389970927
2023-09-20,1.3498550902960533
2023-09-21,1.345715792954624
2023-09-22,1.3454077243167715
2023-09-25,1.3502104299250801
2023-09-26,1.3462143250946474
2023-09-27,1.3323582309406377
2023-09-28,1.319223531789892
2023-10-09,1.318376250978223
2023-10-10,1.3198098974346353
2023-10-11,1.3189798915914495
2023-10-12,1.3192314085136272
2023-10-13,1.3196086838968937
2023-10-16,1.319583532204676
2023-10-17,1.318426554362659
2023-10-18,1.3192942877441718
2023-10-19,1.3190930742064297
2023-10-20,1.3193445911286072
2023-10-23,1.3155761991701362
2023-10-24,1.315239686708982
2023-10-25,1.313043775915165
2023-10-26,1.3172718284882754
2023-10-27,1.318655247819667
2023-10-30,1.3198021538078244
2023-10-31,1.3217809598960808
2023-11-01,1.319343929897021
2023-11-02,1.3209930328210033
2023-11-03,1.3212927581569283
2023-11-06,1.31777940461099
2023-11-07,1.314332263784906
2023-11-08,1.3126288142106977
2023-11-09,1.3083665815321033
2023-11-10,1.313106917727027
2023-11-13,1.3110809726602655
2023-11-14,1.313536539517428
2023-11-15,1.316804220845135
2023-11-16,1.314929155437908
2023-11-17,1.317287527873959
2023-11-20,1.311899739051542
2023-11-21,1.316445766263113
2023-11-22,1.312273556488772
2023-11-23,1.314880319001415
2023-11-24,1.3163515162608632
2023-11-27,1.313806505311246
2023-11-28,1.3149657163606652
2023-11-29,1.3152459385023665
2023-11-30,1.3146158968131076
2023-12-01,1.313136909859423
2023-12-04,1.3133018781132828
2023-12-05,1.3085740175678928
2023-12-06,1.315649325308638
2023-12-07,1.3096646449902003
2023-12-08,1.3164289177905601
2023-12-11,1.3169846113829942
2023-12-12,1.3172691426299514
2023-12-13,1.3194657253016044
2023-12-14,1.3352022226264786
2023-12-15,1.3317906477210215
2023-12-18,1.3332723462678142
2023-12-19,1.3382452478950342
2023-12-20,1.342240094022316
2023-12-21,1.3380092793012348
2023-12-22,1.3431333123946316
2023-12-25,1.3435956890461511
2023-12-26,1.3477154234125022
2023-12-27,1.3512982876127446
2023-12-28,1.3507083951814354
2023-12-29,1.3474435327039809
2024-01-02,1.3483384036213504
2024-01-03,1.3413307908744203
2024-01-04,1.3366426900998924
2024-01-05,1.3352894376599234
2024-01-08,1.3345278945088568
2024-01-09,1.343928033041906
2024-01-10,1.3408133002910136
2024-01-11,1.346104670815691
2024-01-12,1.344890662539694
2024-01-15,1.3517580316021665
2024-01-16,1.350254229389408
2024-01-17,1.343872620155271
2024-01-18,1.3422429441975
2024-01-19,1.3531691429800337
2024-01-22,1.3494361273898317
2024-01-23,1.3461820700133382
2024-01-24,1.3729405821357499
2024-01-25,1.3913965624081293
2024-01-26,1.400131452667137
2024-01-29,1.4070195263956198
2024-01-30,1.4072901079557192
2024-01-31,1.3993562943261757
2024-02-01,1.3921940716804735
2024-02-02,1.402350075878892
2024-02-05,1.4143091566934194
2024-02-06,1.4217297014391852
2024-02-07,1.423197087516975
2024-02-08,1.430170399857272
2024-02-19,1.4350624651764543
2024-02-20,1.4380854540053765
2024-02-21,1.4350806658199964
2024-02-22,1.44589093446312
2024-02-23,1.4522797871018307
2024-02-26,1.4398276839642437
2024-02-27,1.4433738718498326
2024-02-28,1.4515567732392898
2024-02-29,1.4513024699466812
2024-03-01,1.4551233974230544
2024-03-04,1.4609491853444116
2024-03-05,1.4644959521191359
2024-03-06,1.4608891320024429
2024-03-07,1.4622657773220593
2024-03-08,1.4723366666057118
2024-03-11,1.4669974100780265
2024-03-12,1.4547705793905155
2024-03-13,1.4517854612505334
2024-03-14,1.453127279192868
2024-03-15,1.4516892920338456
2024-03-18,1.4540184441540374
2024-03-19,1.4495010662488108
2024-03-20,1.4546723002867779
2024-03-21,1.4677078091608593
2024-03-22,1.468850507636947
2024-03-25,1.4656336788489293
2024-03-26,1.4693895243151915
2024-03-27,1.477374332161306
2024-03-28,1.4891835554174724
2024-03-29,1.4983283293258598
2024-04-01,1.5000528729509073
2024-04-02,1.4980539289936865
2024-04-03,1.4938919835906836
2024-04-08,1.5148366383680347
2024-04-09,1.515971307905236
2024-04-10,1.5196831829326332
2024-04-11,1.5136025793080918
2024-04-12,1.5364099508423577
2024-04-15,1.5487523779719172
2024-04-16,1.5558463935603102
2024-04-17,1.567773920917676
2024-04-18,1.5648632904963522
2024-04-19,1.5760915199237582
2024-04-22,1.5504629074654437
2024-04-23,1.523578224664978
2024-04-24,1.5335762365340462
2024-04-25,1.5366345942948105
2024-04-26,1.537579269371686
2024-04-29,1.531099907424801
2024-04-30,1.5346428199932816
2024-05-06,1.5362602096509925
2024-05-07,1.5358984279702226
2024-05-08,1.536262062635643
2024-05-09,1.5390043301075047
2024-05-10,1.5498068597633061
2024-05-13,1.552299873357359
2024-05-14,1.5490213303714386
2024-05-15,1.548133547206707
2024-05-16,1.5519573552126233
2024-05-17,1.5565591731386212
2024-05-20,1.5581198707710762
2024-05-21,1.5613263741343377
2024-05-22,1.5656937382615332
2024-05-23,1.571657001251537
2024-05-24,1.5612036320176832
2024-05-27,1.5799424091936758
