tilt,dev,temp,ema,bond_c,ann,vol,sharpe,mdd,ymean,ystd,ymin,ymax,yrange,util,y2021,y2022,y2023,y2024,y2025
0.25,0.22,0.1,0.4,0.45,0.10203581367448256,0.06743068493759144,1.5131955691821743,-0.07413121431556846,0.10833172632111505,0.06689927400526623,-0.0002599614408337336,0.18066682142346924,0.18092678286430297,0.29745851664967227,0.10394261264664784,-0.0002599614408337336,0.13266891472120546,0.18066682142346924,0.12464024425508646
0.25,0.12,0.1,0.3,0.35,0.11083069296272252,0.07444234432400365,1.488812502738251,-0.0881808546962104,0.12120793004718262,0.07123900671687527,0.006817236177661723,0.19741598561587836,0.19059874943821664,0.2960269820964222,0.10922182683626702,0.006817236177661723,0.14786833251236042,0.19741598561587836,0.14471626909374558
0.35,0.18,0.14,0.3,0.35,0.1102524870954884,0.07135578051857042,1.545109398204888,-0.07927122377409357,0.11948296562124897,0.07415029839810347,0.001777628351682381,0.20053409581745862,0.19875646746577624,0.2950490836878157,0.10443305077509746,0.001777628351682381,0.14707813209641118,0.20053409581745862,0.14359192106559515
0.35,0.12,0.08,0.3,0.4,0.10761706584000863,0.07114041917109165,1.51274152013627,-0.08257224787244866,0.11580125051682999,0.07071704355474051,0.0029606974474061243,0.19545457080196393,0.1924938733545578,0.29480999933644425,0.10766580323904651,0.0029606974474061243,0.1347317380314983,0.19545457080196393,0.1381934430642351
0.35,0.12,0.06,0.3,0.45,0.10058030089956826,0.06796198263851337,1.4799494804992699,-0.08070468664178143,0.10975057773277216,0.06612523341329322,0.0038398388766125446,0.18444666142477262,0.18060682254816007,0.29463536539675406,0.10658650355365884,0.0038398388766125446,0.12013418855820812,0.18444666142477262,0.13374569625060873
0.35,0.18,0.1,0.3,0.4,0.10555355609965966,0.07001711081759605,1.5075394409609504,-0.08517116583001172,0.11486242371258784,0.06978079106812846,0.003792161692906859,0.19273198305106543,0.18893982135815857,0.2942054948262517,0.10418671490056863,0.003792161692906859,0.13735889923519995,0.19273198305106543,0.1362423596831983
0.35,0.18,0.14,0.3,0.45,0.09728053275448678,0.06559788602055895,1.4829827400840052,-0.07999292733264085,0.1058522966726871,0.06475015853716387,0.0028771192061760598,0.17729413005402916,0.1744170108478531,0.2939896234609255,0.09434687072811587,0.0028771192061760598,0.12877999667400308,0.17729413005402916,0.1259633667011113
0.25,0.15,0.1,0.4,0.45,0.10079128331998066,0.06671145221779329,1.5108542831735507,-0.07831340168664302,0.10832345762932671,0.0668978600755287,-0.0002599614408337336,0.1806798751047456,0.18093983654557932,0.29329290682578935,0.10394261264664784,-0.0002599614408337336,0.1326145026434773,0.1806798751047456,0.12464025919259658
0.35,0.15,0.14,0.3,0.4,0.10323097922272506,0.06864310327059728,1.5038798408600391,-0.08328298967753722,0.11268778716523883,0.06913269662816296,0.0035510074782920675,0.19046829395792075,0.18691728647962869,0.29290956551560654,0.09993655002425306,0.0035510074782920675,0.13800840501915945,0.19046829395792075,0.13147467934656887
0.35,0.15,0.08,0.3,0.45,0.09783716258493191,0.06740600480266332,1.4514606357602464,-0.08130224478965509,0.10580876293183077,0.06365647456813057,0.004455711484669278,0.17935062564720927,0.17489491416254,0.29256063091209916,0.10263468319514191,0.004455711484669278,0.1169642209379671,0.17935062564720927,0.1256385733941663
0.25,0.22,0.08,0.3,0.35,0.11254694349090677,0.07573144029958849,1.4861323519753304,-0.08810112470173204,0.12299770068049427,0.07273214479109309,0.006578354151355104,0.19993915958357267,0.19336080543221756,0.2924991317614857,0.11010668022113146,0.006578354151355104,0.1578128419418101,0.19993915958357267,0.140551467504602
0.25,0.18,0.08,0.3,0.35,0.11254694349090677,0.07573144029958849,1.4861323519753304,-0.08810112470173204,0.12299770068049427,0.07273214479109309,0.006578354151355104,0.19993915958357267,0.19336080543221756,0.2924991317614857,0.11010668022113146,0.006578354151355104,0.1578128419418101,0.19993915958357267,0.140551467504602
0.35,0.15,0.08,0.3,0.4,0.1068344075999943,0.07122669052507406,1.4999209820423312,-0.08149567885528597,0.11544642753253194,0.07011246713167597,0.002265095704425457,0.19143086867981984,0.1891657729753944,0.29162648521675594,0.107573605674953,0.002265095704425457,0.13704261448730093,0.19143086867981984,0.13891995311616046
0.35,0.18,0.14,0.3,0.4,0.10229485835340912,0.06787394275901817,1.5071300442439313,-0.07805906924529604,0.11162220803882512,0.06906250544394917,0.001053660796009659,0.18587418945478262,0.18482052865877296,0.29042661172259754,0.09935176238345478,0.001053660796009659,0.13801875565198185,0.18587418945478262,0.1338126719078967
0.35,0.22,0.14,0.3,0.4,0.10204015769166896,0.0676913460322625,1.5074328355508755,-0.07800604834475722,0.1113640127856895,0.06911856524087467,0.001116239240838146,0.18656897495781077,0.18545273571697263,0.29018015670439523,0.09880220478180801,0.001116239240838146,0.13719701491732184,0.18656897495781077,0.13313563003066875
0.25,0.18,0.14,0.3,0.3,0.1155049974333,0.07718476661699532,1.4964740128898304,-0.0880328333140934,0.12633968171729082,0.07517934628791346,0.005742407633506863,0.20510395499185008,0.19936154735834322,0.28965485988864426,0.11147911989916293,0.005742407633506863,0.15870559558427355,0.20510395499185008,0.15066733047766068
0.25,0.22,0.14,0.3,0.3,0.1155049974333,0.07718476661699532,1.4964740128898304,-0.0880328333140934,0.12633968171729082,0.07517934628791346,0.005742407633506863,0.20510395499185008,0.19936154735834322,0.28965485988864426,0.11147911989916293,0.005742407633506863,0.15870559558427355,0.20510395499185008,0.15066733047766068
