date,live_v3_unlevered,fixed_IS_vol10,target_vol10,fixed_IS_vol12,target_vol12,fixed_IS_vol14,target_vol14
2018-10-29,0.9939589416228569,0.9650540164845443,0.9538277832911147,0.9579861602753232,0.9374629811869184,0.9508951616600544,0.9277933739945563
2018-10-30,0.9939589416228569,0.9650540164845443,0.9538277832911147,0.9579861602753232,0.9374629811869184,0.9508951616600544,0.9277933739945563
2018-10-31,0.9939589416228569,0.9650540164845443,0.9538277832911147,0.9579861602753232,0.9374629811869184,0.9508951616600544,0.9277933739945563
2018-11-01,0.9939589416228569,0.9650540164845443,0.9538277832911147,0.9579861602753232,0.9374629811869184,0.9508951616600544,0.9277933739945563
2018-11-02,0.9939163433825017,0.9648167755141857,0.9535104381729155,0.9577035561155083,0.9370887006648572,0.9505678972771169,0.9273612173890038
2018-11-05,0.9942215376593694,0.9665161388883998,0.9557838415258433,0.9597277576691141,0.9397698005359789,0.952911870178983,0.9304566974416795
2018-11-06,0.9962995248379356,0.9781034765124769,0.971314192042585,0.9735349016260899,0.9580939702152725,0.9689058050654045,0.9516230378146138
2018-11-07,0.9972778885868331,0.9836129498575916,0.9788424121965521,0.9801153889301601,0.9670048775962935,0.9765465354882794,0.9619488818178462
2018-11-08,0.9954184653177232,0.9730933029318427,0.9641349035336214,0.9675366999169284,0.9495693037750546,0.9619248342734444,0.9417137348004239
2018-11-09,0.9942657016359665,0.9666292644873943,0.9554506184271702,0.9598241472901646,0.9393055983138039,0.9529790459025341,0.9298384725893241
2018-11-12,0.9963418286368992,0.9782070700590056,0.9709280695596828,0.9736197039965793,0.9575646976949895,0.9689590799421431,0.9509260525649919
2018-11-13,0.9957997422327937,0.9751542176867352,0.9670527225603943,0.9699734610110045,0.9529782873181387,0.9647254930432891,0.9456123367956724
2018-11-14,0.9933655440943783,0.961480957615202,0.9495597353621882,0.9536527201628333,0.9322922131159949,0.9457876478751324,0.9216651229958588
2018-11-15,0.9953609362676533,0.9725592982395416,0.96299400994958,0.9668384910355043,0.9481201836420329,0.9610441755201717,0.9399205972228871
2018-11-16,0.9956270292465723,0.9740506626250814,0.9647406636151612,0.9686176012590676,0.9501837947262887,0.9631073647595878,0.9423073224105267
2018-11-19,0.9970498399448681,0.9820351464290719,0.9741768690498324,0.9781455387837998,0.9613363829720883,0.9741600559908461,0.9552108187977909
2018-11-20,0.9990162660997853,0.9931448548163877,0.9876028361203932,0.9914243853535056,0.9772351845530836,0.9895889210957018,0.973641230326227
2018-11-21,1.0002587407798624,1.0002298969795218,0.9961491713623394,0.9999117074649462,0.9873831256386608,0.9994724651472909,0.9854369539487017
